NCVOG_gene	ARG085	Burma_1F	CCIBt4013	CIRM-AVA-1-Amber	CIRM-AVA-1-Meiospore	CIRM-AVA-1-Orange	California_12	JEL0065	JEL0095	JEL0112	JEL0117	JEL0120	JEL0129	JEL0176	JEL0318	JEL0345	JEL0379	JEL0388	JEL0389	JEL0407	JEL0476	JEL0513	JEL0522	JEL0563	JEL0566	JEL0567	JEL0680	JEL0695	JEL0708	JEL0728	JEL0729	JEL0754	JEL0764	JEL0774	JEL0797	JEL0801	JEL0829	JEL0837	JEL0838	JEL0842	JEL0847	JEL0866	JEL0888	JEL0916	JEL0917	KLL_TL_06062013	PLAUS21	WJD170
NCVOG0027		7.9e-11 (3 hits)		3.6e-20 (26 hits)	1.1e-14 (10 hits)	3.2e-10 (4 hits)	2.2e-10 (5 hits)		1.7e-13 (7 hits)				4.9e-09 (3 hits)				2.9e-13 (4 hits)	1.3e-10 (2 hits)	2.6e-13 (2 hits)		8e-33 (2 hits)	1.9e-09 (4 hits)	2.9e-19 (3 hits)	5.2e-34 (6 hits)	2.7e-13 (2 hits)	3.2e-13 (2 hits)		4.8e-13 (4 hits)	1.8e-34 (8 hits)		2.3e-20 (4 hits)			2e-34 (3 hits)			1.9e-18 (1 hits)				1e-29 (4 hits)	9.7e-30 (4 hits)	1.1e-11 (3 hits)	1.2e-22 (5 hits)	5.9e-09 (3 hits)	3.2e-10 (2 hits)		
NCVOG0029	1.3e-37 (26 hits)	2.7e-98 (20 hits)	1.2e-48 (23 hits)	1.5e-124 (80 hits)	1.3e-51 (19 hits)	8.6e-52 (17 hits)	1.6e-99 (32 hits)	3.1e-37 (15 hits)	7.9e-42 (27 hits)	3.1e-23 (10 hits)	4.4e-39 (31 hits)		4.3e-23 (9 hits)	1.6e-30 (23 hits)	9.4e-19 (11 hits)	2e-30 (14 hits)	9.1e-18 (18 hits)	3.1e-15 (7 hits)	1.5e-22 (16 hits)	5.1e-43 (17 hits)	1e-34 (8 hits)	2.8e-25 (15 hits)	8.1e-35 (8 hits)	2.2e-21 (19 hits)	5.8e-24 (19 hits)	5.6e-17 (19 hits)	6.6e-40 (24 hits)	2.5e-103 (44 hits)	1.4e-109 (26 hits)	1.3e-51 (24 hits)	1.4e-96 (21 hits)	1.6e-13 (17 hits)	2.7e-18 (8 hits)	3.7e-25 (6 hits)	1.9e-35 (39 hits)	3.4e-50 (8 hits)	3e-76 (14 hits)		3e-52 (25 hits)	3.5e-15 (8 hits)	9.4e-48 (24 hits)	2.3e-44 (23 hits)	1.8e-39 (20 hits)	4.6e-26 (7 hits)	7.7e-43 (31 hits)	5.5e-18 (8 hits)	1.8e-49 (18 hits)	2.3e-15 (6 hits)
NCVOG0030	5.8e-51 (12 hits)	7.2e-127 (14 hits)	3.2e-48 (16 hits)	1.6e-123 (24 hits)	5.6e-124 (19 hits)	3.4e-124 (16 hits)	1.3e-124 (33 hits)	1.8e-49 (19 hits)	5.5e-128 (21 hits)	1.1e-50 (8 hits)	2.5e-50 (16 hits)		4e-51 (8 hits)	1.6e-50 (14 hits)	2.9e-64 (11 hits)	3.1e-51 (13 hits)	3.7e-68 (13 hits)	1.4e-49 (13 hits)	9.8e-68 (12 hits)	1.5e-48 (15 hits)	1.3e-37 (10 hits)	2.5e-49 (16 hits)	1e-37 (10 hits)	1.4e-67 (14 hits)	8.7e-68 (12 hits)	1.1e-67 (13 hits)	1.5e-87 (17 hits)	3e-73 (32 hits)	6e-74 (15 hits)	5.5e-128 (25 hits)	4.1e-52 (12 hits)	1.3e-49 (14 hits)	1.1e-60 (8 hits)	1.7e-52 (15 hits)	1.8e-49 (13 hits)	9.1e-40 (17 hits)	3.1e-88 (19 hits)		2.2e-129 (15 hits)	3.6e-52 (8 hits)	1.3e-75 (18 hits)	9.1e-76 (19 hits)	9.2e-80 (15 hits)	4e-59 (7 hits)	3.1e-49 (12 hits)	3e-52 (11 hits)	2.1e-73 (23 hits)	6.2e-65 (10 hits)
NCVOG0031	5.8e-09 (1 hits)	2e-09 (4 hits)	1.2e-11 (1 hits)	4.9e-14 (18 hits)	1.8e-12 (6 hits)	1.1e-12 (5 hits)	7.4e-09 (2 hits)		1.1e-14 (10 hits)	8.7e-16 (1 hits)	1.9e-10 (1 hits)		1.4e-16 (1 hits)	5.3e-09 (1 hits)	5.6e-13 (2 hits)	3.4e-09 (1 hits)	6.2e-12 (1 hits)	4.3e-14 (2 hits)	1.9e-11 (1 hits)		3.4e-55 (3 hits)	1.4e-10 (2 hits)	1.4e-62 (3 hits)	3.6e-81 (4 hits)	7.4e-12 (1 hits)	8.6e-12 (1 hits)		1.1e-10 (2 hits)	1.9e-71 (6 hits)		1.4e-17 (5 hits)		7e-14 (2 hits)	2.6e-34 (3 hits)	2.6e-09 (1 hits)		5.5e-72 (1 hits)		2.7e-10 (1 hits)	5.9e-12 (1 hits)	7.3e-65 (2 hits)	7e-65 (2 hits)	3.1e-14 (1 hits)	2.4e-24 (3 hits)	2.7e-14 (1 hits)	1.4e-11 (2 hits)	4.4e-10 (1 hits)	4.4e-10 (2 hits)
NCVOG0032	4.9e-43 (57 hits)	5.6e-75 (67 hits)	2.5e-46 (30 hits)	8.6e-101 (86 hits)	2.2e-78 (32 hits)	1.4e-73 (30 hits)	5.7e-74 (94 hits)	1.2e-46 (53 hits)	3.6e-92 (55 hits)	5.1e-60 (35 hits)	4e-55 (85 hits)	1.1e-35 (1 hits)	5.2e-43 (36 hits)	4e-43 (58 hits)	3.9e-50 (47 hits)	2.9e-43 (52 hits)	5.3e-64 (56 hits)	6.7e-53 (28 hits)	2.5e-69 (56 hits)	1.3e-36 (48 hits)	1.8e-51 (23 hits)	1.2e-41 (46 hits)	1.5e-51 (24 hits)	3.1e-74 (53 hits)	2.3e-69 (55 hits)	1.9e-68 (56 hits)	2.9e-63 (37 hits)	7.9e-72 (91 hits)	1.2e-98 (55 hits)	1.1e-50 (46 hits)	6.9e-81 (55 hits)	4.6e-56 (25 hits)	1.6e-65 (34 hits)	2.2e-54 (28 hits)	5.5e-48 (49 hits)	4.2e-47 (38 hits)	4.3e-72 (38 hits)		7.6e-48 (34 hits)	7.7e-95 (37 hits)	8.5e-49 (38 hits)	8.2e-49 (40 hits)	3.6e-63 (44 hits)	3.2e-47 (31 hits)	1.2e-51 (70 hits)	8e-57 (30 hits)	6.8e-46 (40 hits)	1.8e-50 (27 hits)
NCVOG0033		1.7e-31 (1 hits)		2.2e-204 (40 hits)	1e-12 (1 hits)	6.2e-13 (1 hits)	2.4e-31 (1 hits)																				4.5e-09 (1 hits)				2.2e-167 (5 hits)						2.1e-09 (1 hits)							6.4e-09 (1 hits)				
NCVOG0034	2.1e-34 (6 hits)	1.3e-52 (5 hits)	5.6e-40 (4 hits)	6e-45 (26 hits)		1.4e-10 (1 hits)	2.4e-51 (10 hits)	2.4e-29 (2 hits)	6e-29 (6 hits)	3.6e-28 (5 hits)	1.9e-29 (7 hits)		2.9e-29 (5 hits)	2.8e-34 (8 hits)	5e-17 (3 hits)	1.6e-46 (11 hits)	4e-43 (5 hits)	1e-10 (4 hits)	2.2e-34 (4 hits)	4.9e-36 (3 hits)	4.6e-12 (3 hits)	6.7e-20 (6 hits)	4.7e-19 (3 hits)	5.6e-29 (4 hits)	3.3e-35 (4 hits)	4.7e-34 (2 hits)	5e-18 (3 hits)	3.5e-59 (10 hits)	1.2e-66 (4 hits)	1.1e-35 (4 hits)	9.2e-16 (4 hits)	1.2e-10 (3 hits)	4.2e-23 (3 hits)	1.3e-21 (1 hits)	8.5e-15 (3 hits)	2.1e-16 (4 hits)	2.9e-43 (2 hits)		2.8e-36 (4 hits)	1.8e-14 (4 hits)	6.4e-34 (5 hits)	7.4e-34 (4 hits)	2.5e-25 (3 hits)	6.9e-16 (1 hits)	5.3e-28 (5 hits)	1.3e-12 (3 hits)	1.5e-25 (7 hits)	3.6e-19 (2 hits)
NCVOG0035				1.3e-56 (10 hits)	5.9e-12 (1 hits)	3.6e-12 (1 hits)		6.1e-15 (3 hits)			2e-14 (4 hits)																				3.5e-46 (1 hits)						3.9e-09 (1 hits)							9.3e-23 (6 hits)				
NCVOG0036	3.7e-27 (1 hits)	3.6e-73 (1 hits)	1e-11 (2 hits)	1.8e-66 (11 hits)	6.2e-67 (2 hits)	3.8e-67 (2 hits)	3.7e-55 (3 hits)	2.7e-31 (4 hits)	2.5e-27 (2 hits)	1.9e-46 (2 hits)	1.3e-30 (2 hits)		2e-46 (2 hits)	4.8e-27 (1 hits)	6.2e-32 (2 hits)	9.9e-28 (1 hits)	1.2e-34 (1 hits)	1.8e-27 (1 hits)	7.8e-34 (1 hits)	1.6e-25 (3 hits)		1e-29 (2 hits)		5.6e-30 (2 hits)	8.9e-34 (2 hits)	9e-34 (2 hits)	4.4e-38 (2 hits)	2.9e-33 (4 hits)	2.3e-27 (1 hits)	1.6e-29 (2 hits)	7.5e-10 (1 hits)	2.1e-48 (1 hits)	1.1e-23 (1 hits)	1e-25 (1 hits)	3.5e-23 (3 hits)	2.5e-29 (2 hits)	2e-38 (2 hits)		1.8e-28 (2 hits)	2.1e-28 (1 hits)	1.4e-27 (2 hits)	1.4e-27 (2 hits)	5.4e-29 (2 hits)		2.2e-27 (4 hits)	3.7e-24 (2 hits)	3.1e-28 (2 hits)	1.5e-30 (1 hits)
NCVOG0037	7.5e-69 (5 hits)	0.0 (2 hits)	2.8e-48 (7 hits)	0.0 (33 hits)	0.0 (1 hits)	0.0 (1 hits)	0.0 (14 hits)	6e-37 (8 hits)	4.4e-230 (13 hits)	4.8e-62 (6 hits)	6.7e-63 (9 hits)		5.1e-62 (5 hits)	2.1e-72 (5 hits)	5.8e-66 (14 hits)	1.1e-160 (22 hits)	8.4e-164 (11 hits)	8.7e-59 (8 hits)	7.3e-170 (12 hits)	1.7e-156 (4 hits)	1.9e-82 (17 hits)	7.5e-72 (12 hits)	2.1e-82 (16 hits)	2.3e-168 (9 hits)	9.6e-169 (11 hits)	1.1e-169 (8 hits)	5.3e-202 (4 hits)	7.5e-267 (9 hits)	1.3e-288 (6 hits)	6e-205 (13 hits)	2.8e-75 (10 hits)	5.4e-76 (15 hits)	9.4e-53 (12 hits)	3.5e-46 (3 hits)	5.4e-34 (5 hits)	4.4e-72 (13 hits)	1.7e-207 (4 hits)		7.7e-129 (6 hits)	6.3e-54 (14 hits)	1.5e-131 (8 hits)	1.5e-131 (8 hits)	7.3e-98 (8 hits)	3.9e-55 (16 hits)	2.1e-53 (13 hits)	7.3e-54 (7 hits)	2.2e-93 (11 hits)	1.4e-52 (10 hits)
