NCVOG_gene	ARG085	Burma_1F	CCIBt4013	CIRM-AVA-1-Amber	CIRM-AVA-1-Meiospore	CIRM-AVA-1-Orange	California_12	JEL0065	JEL0095	JEL0112	JEL0117	JEL0120	JEL0129	JEL0176	JEL0318	JEL0345	JEL0379	JEL0388	JEL0389	JEL0407	JEL0476	JEL0513	JEL0522	JEL0563	JEL0566	JEL0567	JEL0680	JEL0695	JEL0708	JEL0728	JEL0729	JEL0754	JEL0764	JEL0774	JEL0797	JEL0801	JEL0829	JEL0837	JEL0838	JEL0842	JEL0847	JEL0866	JEL0888	JEL0916	JEL0917	KLL_TL_06062013	PLAUS21	WJD170
NCVOG1073																												2.2e-09 (2 hits)																				
NCVOG1074				1.3e-25 (5 hits)											1.9e-25 (1 hits)											7.1e-28 (1 hits)																						
NCVOG1083		5.4e-19 (1 hits)					4.1e-21 (2 hits)	7.5e-13 (1 hits)								1.1e-21 (1 hits)																			3.4e-20 (1 hits)									2.5e-12 (1 hits)				
NCVOG1084		8.5e-13 (1 hits)												1.8e-11 (1 hits)		2e-18 (1 hits)																																
NCVOG1087		5.8e-15 (3 hits)		1.6e-09 (1 hits)		5.9e-11 (1 hits)	1.8e-16 (6 hits)	6.5e-09 (1 hits)							4e-11 (1 hits)	8.4e-15 (2 hits)														7.2e-11 (3 hits)									1.8e-11 (2 hits)		3.4e-15 (1 hits)	8.9e-13 (2 hits)		2.6e-15 (3 hits)			2.5e-12 (2 hits)	
NCVOG1088		1.7e-11 (1 hits)					1.2e-11 (1 hits)	2.4e-15 (1 hits)								4.9e-23 (2 hits)			1.3e-10 (1 hits)	9.7e-18 (1 hits)				6.3e-13 (2 hits)		1.3e-10 (2 hits)		1.4e-17 (3 hits)		1.1e-15 (1 hits)				4.4e-11 (2 hits)	4.2e-17 (1 hits)				1.1e-16 (1 hits)		1.8e-15 (1 hits)	7.6e-14 (1 hits)		3.1e-14 (3 hits)				
NCVOG1098	1.7e-12 (3 hits)	5.3e-11 (5 hits)	6.7e-15 (4 hits)	1.5e-14 (2 hits)	5.1e-15 (1 hits)	6.5e-12 (1 hits)	1.2e-10 (8 hits)	3.1e-11 (2 hits)	2.7e-13 (3 hits)	2.4e-11 (8 hits)			1.6e-11 (8 hits)	2.7e-12 (3 hits)	3.2e-10 (1 hits)	2e-14 (2 hits)		8.8e-11 (1 hits)	4e-09 (2 hits)		3.1e-17 (1 hits)	3e-11 (3 hits)	2.5e-17 (1 hits)	2.4e-10 (1 hits)		4e-09 (2 hits)	4.1e-16 (3 hits)	7.1e-18 (5 hits)	7.8e-11 (2 hits)	1.2e-11 (2 hits)	4.6e-14 (2 hits)	5.1e-14 (1 hits)	9e-12 (1 hits)	1.7e-10 (1 hits)		7e-19 (1 hits)	9.3e-13 (3 hits)		1.3e-16 (2 hits)		2.8e-20 (3 hits)	2.7e-20 (3 hits)	2.1e-12 (2 hits)				1.3e-15 (2 hits)	
NCVOG1100		5e-47 (4 hits)		1.5e-09 (1 hits)			2.9e-56 (2 hits)	6e-10 (2 hits)	5.4e-10 (1 hits)	3.5e-14 (2 hits)	4.1e-09 (2 hits)		3.6e-14 (2 hits)		4.1e-11 (3 hits)			4.7e-10 (2 hits)		7e-10 (1 hits)							1.1e-09 (1 hits)		2.2e-15 (2 hits)		7.7e-10 (3 hits)		3e-09 (2 hits)	8.4e-09 (1 hits)			1.8e-10 (1 hits)		4.4e-10 (2 hits)						5.1e-09 (4 hits)		1.4e-09 (2 hits)	
NCVOG1114																											2.7e-10 (1 hits)							2.5e-13 (1 hits)														
NCVOG1115	1e-61 (2 hits)	5.5e-22 (1 hits)	1.1e-34 (1 hits)	5.5e-80 (8 hits)	5.4e-54 (1 hits)	3.3e-54 (1 hits)	6.9e-42 (1 hits)		9.7e-45 (1 hits)	1e-41 (2 hits)			1.1e-41 (2 hits)	9e-62 (2 hits)	7.7e-15 (1 hits)	1.2e-62 (3 hits)	3.4e-57 (1 hits)		6.9e-57 (1 hits)	1.2e-16 (1 hits)	9.3e-35 (2 hits)		8.8e-43 (1 hits)	1.4e-59 (2 hits)	5e-57 (1 hits)		1.7e-28 (2 hits)	1.3e-61 (3 hits)	1.9e-73 (2 hits)	7.5e-16 (1 hits)	4.2e-76 (3 hits)			2.3e-16 (1 hits)		1.7e-10 (1 hits)	1.1e-35 (3 hits)			9.1e-17 (1 hits)			3.4e-48 (1 hits)			3.5e-41 (2 hits)		4.2e-09 (1 hits)
NCVOG1116																7e-10 (2 hits)								8.2e-11 (1 hits)					1.7e-13 (1 hits)																			
NCVOG1117		5.7e-63 (3 hits)		8.8e-12 (1 hits)	3e-12 (1 hits)	1.8e-12 (1 hits)	4.7e-58 (8 hits)	3.3e-20 (5 hits)	9.5e-36 (1 hits)	2.4e-22 (2 hits)			2.5e-22 (2 hits)	1.3e-29 (2 hits)		1.7e-75 (3 hits)	4.2e-34 (4 hits)	4.7e-14 (1 hits)	4.2e-32 (1 hits)	5.1e-14 (1 hits)	8.8e-10 (4 hits)	5.4e-23 (1 hits)	2.4e-09 (1 hits)	3.4e-34 (1 hits)	2.4e-32 (1 hits)	5.5e-32 (1 hits)	1.8e-10 (2 hits)	3.6e-42 (3 hits)	3.1e-40 (4 hits)	1.4e-12 (2 hits)	1.1e-10 (1 hits)	2e-14 (1 hits)	2.9e-11 (1 hits)	6.7e-30 (5 hits)		1.9e-10 (1 hits)	6.4e-13 (3 hits)		5.2e-26 (1 hits)	2.1e-16 (2 hits)	6.7e-21 (1 hits)	2e-13 (2 hits)	1.4e-14 (1 hits)	6.3e-26 (8 hits)			2.9e-25 (1 hits)	1.7e-12 (2 hits)
NCVOG1118				1.7e-28 (34 hits)																																												
NCVOG1125				1.6e-24 (19 hits)																																												
NCVOG1127		1.2e-33 (4 hits)	1.9e-10 (1 hits)	8e-10 (1 hits)	2.8e-10 (1 hits)	1.7e-10 (1 hits)	1.9e-31 (4 hits)		1.6e-21 (2 hits)						5.7e-29 (1 hits)	4.1e-27 (3 hits)	3.6e-29 (1 hits)	4.5e-32 (2 hits)	2.2e-29 (1 hits)	1.8e-32 (2 hits)				7.1e-29 (1 hits)	5.7e-30 (1 hits)	1.9e-28 (1 hits)	3.9e-26 (1 hits)	9.7e-45 (2 hits)	1.9e-21 (1 hits)	2.2e-26 (2 hits)	2.1e-29 (1 hits)	6.4e-29 (1 hits)	4.3e-30 (2 hits)			3.2e-21 (2 hits)	2e-26 (1 hits)		1.2e-35 (3 hits)		5.9e-34 (3 hits)	5.7e-34 (3 hits)	5.9e-24 (1 hits)	1.3e-36 (2 hits)		1.4e-26 (2 hits)	8.7e-33 (3 hits)	3.1e-30 (1 hits)
NCVOG1128	2.1e-33 (17 hits)	7.9e-13 (1 hits)		1.7e-31 (1 hits)	8.1e-24 (1 hits)	6.3e-32 (1 hits)	1.2e-11 (2 hits)	1.1e-34 (21 hits)	2.1e-23 (1 hits)	1.3e-17 (10 hits)	4e-25 (23 hits)		6.5e-18 (9 hits)	6.9e-30 (14 hits)	1.3e-18 (3 hits)	9.5e-31 (14 hits)	6.1e-25 (2 hits)	6e-18 (12 hits)	1.9e-23 (2 hits)	2.2e-29 (7 hits)	2.7e-15 (4 hits)	5.8e-26 (17 hits)	2.3e-15 (4 hits)		2.3e-24 (2 hits)	6.8e-25 (2 hits)	1.1e-34 (5 hits)	2.3e-30 (29 hits)	8.1e-26 (2 hits)	1.6e-18 (4 hits)	1.6e-09 (1 hits)	2.7e-19 (2 hits)	5.4e-21 (3 hits)	2.2e-17 (3 hits)	4.6e-22 (12 hits)	4.8e-32 (4 hits)	6.1e-35 (7 hits)		2.2e-32 (3 hits)		1.3e-31 (3 hits)	1.3e-31 (3 hits)	6e-32 (6 hits)	5.3e-22 (8 hits)	5.4e-26 (17 hits)	5.1e-20 (8 hits)	8.4e-33 (5 hits)	9.2e-30 (5 hits)
NCVOG1129		1.5e-13 (1 hits)					2.9e-16 (2 hits)									5.3e-17 (1 hits)																		5.7e-13 (1 hits)										2.6e-23 (1 hits)				
NCVOG1130																												3.9e-10 (3 hits)		1.7e-14 (1 hits)							4.9e-09 (1 hits)		1.3e-15 (1 hits)		2.1e-16 (1 hits)	1.3e-13 (1 hits)					4.8e-15 (1 hits)	
NCVOG1132																																												8e-12 (5 hits)				
NCVOG1134																																				1.6e-14 (9 hits)								1.1e-26 (10 hits)				
NCVOG1136	5.4e-29 (2 hits)	1e-119 (2 hits)	3.1e-63 (4 hits)	4.6e-94 (19 hits)	4.2e-80 (3 hits)	4.5e-48 (5 hits)	1.6e-119 (3 hits)	1.3e-14 (2 hits)	5e-111 (1 hits)	2e-28 (5 hits)	6.3e-28 (7 hits)		5.2e-19 (4 hits)	1.2e-28 (4 hits)	1.6e-45 (1 hits)	2.7e-113 (5 hits)	1.6e-41 (2 hits)	1.5e-41 (2 hits)	6.3e-78 (2 hits)	5e-43 (5 hits)	3.9e-38 (2 hits)	4.6e-21 (1 hits)	3.2e-38 (2 hits)	7.2e-113 (1 hits)	5.7e-78 (2 hits)	2.3e-78 (2 hits)	5.6e-11 (1 hits)	4.5e-38 (4 hits)	4.6e-121 (2 hits)	3.5e-58 (5 hits)	5.1e-97 (5 hits)	2.4e-39 (2 hits)	1.3e-48 (3 hits)	2.4e-64 (5 hits)	8e-41 (4 hits)	1.3e-47 (5 hits)	6.9e-16 (1 hits)		8.9e-59 (3 hits)	1.7e-33 (5 hits)	1.4e-58 (5 hits)	1.3e-58 (5 hits)	8.9e-116 (1 hits)	3e-65 (3 hits)	1.9e-27 (4 hits)	1.3e-10 (1 hits)	1.6e-57 (6 hits)	9.9e-116 (6 hits)
NCVOG1137		2.3e-33 (1 hits)					9.6e-35 (2 hits)	1.4e-33 (1 hits)								3.1e-23 (2 hits)																												3.6e-27 (1 hits)				
NCVOG1149	8.7e-11 (6 hits)	7.8e-10 (2 hits)				2.5e-14 (4 hits)	9.9e-11 (2 hits)							3e-10 (2 hits)													5.1e-15 (10 hits)	1e-12 (16 hits)		2.9e-12 (8 hits)						3.5e-12 (3 hits)	2.8e-15 (13 hits)		1.8e-14 (12 hits)		6.6e-16 (11 hits)	1.6e-16 (13 hits)					1.3e-13 (9 hits)	
NCVOG1153																																												8e-10 (13 hits)				
NCVOG1154	3.9e-10 (1 hits)	1.4e-24 (2 hits)	1.1e-20 (4 hits)	2.6e-12 (5 hits)			2.7e-26 (4 hits)	1.2e-15 (3 hits)	5e-29 (2 hits)	6.9e-15 (1 hits)	6.6e-11 (2 hits)		5.4e-15 (3 hits)	1.2e-10 (1 hits)		1.3e-28 (2 hits)	2.6e-17 (2 hits)	2e-38 (2 hits)	5.9e-17 (1 hits)	1.7e-24 (2 hits)				2.7e-17 (2 hits)	2.4e-17 (1 hits)	4.4e-17 (1 hits)	4.5e-21 (2 hits)	4.7e-10 (1 hits)	2.1e-28 (2 hits)	2.4e-20 (2 hits)	1.8e-34 (2 hits)	2.4e-34 (2 hits)	9.7e-10 (2 hits)	1e-32 (3 hits)		1.2e-14 (2 hits)	7.6e-21 (2 hits)		2.7e-13 (2 hits)	4.5e-25 (3 hits)	9.5e-21 (2 hits)	9.2e-21 (2 hits)		4.3e-32 (3 hits)	6.9e-11 (2 hits)	3.4e-30 (2 hits)	2.5e-21 (2 hits)	4.3e-23 (2 hits)
NCVOG1155								6.7e-15 (3 hits)		1.7e-15 (2 hits)	3e-19 (3 hits)		1.1e-13 (2 hits)					3.3e-10 (2 hits)		1.1e-12 (1 hits)		1e-15 (1 hits)					4.6e-18 (1 hits)	1.5e-18 (3 hits)	8.6e-14 (3 hits)				8.9e-15 (1 hits)	4.5e-13 (1 hits)	1.1e-21 (2 hits)	6.5e-13 (2 hits)	8.2e-20 (1 hits)				2.1e-11 (1 hits)	2.1e-11 (1 hits)		8.5e-09 (1 hits)	4.6e-19 (3 hits)			1.7e-09 (1 hits)
NCVOG1157																								1.8e-10 (7 hits)					6.5e-12 (29 hits)							2.5e-09 (42 hits)			9.1e-11 (11 hits)			4.7e-10 (12 hits)						7.8e-11 (10 hits)
NCVOG1164		1.1e-23 (1 hits)					5.6e-24 (2 hits)							9.1e-32 (1 hits)		7.6e-33 (3 hits)																		1.4e-18 (2 hits)										3.1e-25 (2 hits)				
NCVOG1175	1.2e-15 (1 hits)						1.5e-33 (1 hits)			1.5e-11 (1 hits)			9.2e-13 (1 hits)	1.9e-42 (1 hits)		1.2e-23 (4 hits)					5.7e-37 (3 hits)		9.8e-27 (4 hits)	1.3e-17 (1 hits)									2.3e-42 (1 hits)	1.7e-37 (1 hits)										4.8e-18 (6 hits)	5.8e-32 (1 hits)			1.3e-31 (5 hits)
NCVOG1191				1.9e-13 (9 hits)				2e-11 (1 hits)			7.1e-10 (1 hits)				4.5e-12 (1 hits)			1.4e-11 (1 hits)								8.9e-09 (1 hits)				1.9e-09 (1 hits)	2.6e-14 (5 hits)		8.3e-12 (1 hits)		1.6e-09 (1 hits)										8e-11 (3 hits)	1.1e-12 (1 hits)	9.1e-09 (1 hits)	
NCVOG1192		1.2e-50 (3 hits)					5.6e-51 (6 hits)	1.4e-10 (1 hits)	3e-22 (2 hits)							3.6e-46 (2 hits)	3.2e-20 (2 hits)		1.8e-19 (2 hits)	6.7e-16 (4 hits)				4.2e-25 (3 hits)	1.1e-19 (2 hits)	1.3e-19 (2 hits)	7e-28 (1 hits)	5.1e-32 (3 hits)	4.7e-21 (1 hits)	6.1e-17 (1 hits)					7.2e-49 (1 hits)	1.4e-10 (1 hits)	2.2e-27 (1 hits)		2.1e-17 (1 hits)		7.7e-19 (1 hits)	3.5e-10 (1 hits)		1e-46 (1 hits)			4.5e-21 (1 hits)	9e-12 (1 hits)
NCVOG1194																		2.3e-23 (5 hits)						4e-10 (1 hits)					5e-17 (1 hits)		1.4e-10 (1 hits)		1.7e-26 (1 hits)															
NCVOG1195				7.9e-11 (1 hits)														5.3e-14 (1 hits)											9.6e-17 (1 hits)				6.3e-15 (1 hits)															
NCVOG1197	2.1e-21 (5 hits)	3.8e-09 (5 hits)		1.4e-50 (17 hits)	3e-11 (3 hits)	2.2e-11 (3 hits)	1.5e-09 (3 hits)	8.1e-48 (12 hits)	1.8e-09 (1 hits)	2.6e-26 (1 hits)	1.5e-38 (33 hits)		2.7e-26 (1 hits)	3.4e-23 (4 hits)		6.9e-21 (3 hits)	2.5e-21 (7 hits)	6.6e-10 (2 hits)	8.4e-19 (5 hits)	4.3e-10 (1 hits)	3e-53 (63 hits)	1e-26 (3 hits)	2.1e-41 (57 hits)	1.6e-18 (8 hits)	1.8e-17 (5 hits)	6.8e-19 (5 hits)	3e-14 (8 hits)	5.3e-54 (354 hits)	6.6e-12 (4 hits)	6.1e-10 (1 hits)	3.4e-32 (7 hits)	2.3e-13 (5 hits)	2e-10 (1 hits)		1e-32 (15 hits)	3.1e-63 (213 hits)	6.8e-23 (12 hits)		6.7e-10 (2 hits)	6.8e-13 (4 hits)	1.2e-10 (2 hits)	1.2e-10 (1 hits)	6.5e-15 (4 hits)		3.6e-33 (19 hits)		7.4e-10 (1 hits)	4.9e-10 (1 hits)
NCVOG1199										4.5e-11 (1 hits)			4.7e-11 (1 hits)		3.9e-15 (1 hits)			3.5e-13 (3 hits)												1.1e-09 (2 hits)	2.1e-09 (2 hits)	2.5e-11 (3 hits)	8.3e-13 (1 hits)				3.2e-11 (2 hits)		8.4e-10 (1 hits)		1.1e-09 (1 hits)	2.8e-10 (1 hits)	8.5e-11 (6 hits)			2.6e-12 (3 hits)	7.7e-09 (2 hits)	5.5e-11 (1 hits)
NCVOG1202				6.2e-19 (5 hits)																																								8.4e-09 (2 hits)				
NCVOG1206				9.9e-18 (2 hits)													6.7e-31 (1 hits)		8.1e-29 (1 hits)					2.5e-30 (1 hits)	4.4e-29 (1 hits)	6.9e-29 (1 hits)			1.4e-35 (1 hits)															1.6e-16 (2 hits)				
NCVOG1216		4.5e-38 (1 hits)					8.4e-39 (2 hits)									5.4e-41 (3 hits)			2.4e-14 (1 hits)															1.9e-17 (1 hits)										3.9e-17 (1 hits)				
NCVOG1234																					4.8e-09 (1 hits)		3.9e-09 (1 hits)																	2.2e-09 (1 hits)								
NCVOG1236																																												2.9e-16 (1 hits)				
NCVOG1242	6.4e-13 (2 hits)	8.3e-22 (4 hits)	2.2e-13 (3 hits)	5.8e-22 (17 hits)	3.8e-19 (2 hits)	3.1e-19 (2 hits)	1.9e-19 (6 hits)	2.2e-10 (2 hits)		2.4e-14 (2 hits)	4.2e-12 (2 hits)		4e-14 (2 hits)	4.7e-13 (4 hits)		8.9e-10 (1 hits)	4.8e-13 (1 hits)		1e-14 (1 hits)		5.1e-11 (1 hits)	2.5e-09 (3 hits)	4.1e-11 (1 hits)	3.1e-13 (1 hits)	5.2e-15 (1 hits)	1e-14 (1 hits)	9.6e-11 (3 hits)	2.1e-14 (2 hits)			8.4e-33 (2 hits)	3.8e-12 (1 hits)				9.4e-15 (1 hits)	5.9e-13 (4 hits)			1.7e-09 (2 hits)			3.4e-12 (1 hits)	5e-14 (2 hits)	7.9e-09 (1 hits)	1.6e-10 (1 hits)		
NCVOG1243		3.5e-09 (1 hits)	2e-12 (2 hits)	5.9e-71 (14 hits)				1.3e-14 (2 hits)			1.7e-10 (1 hits)		1.7e-09 (2 hits)				6.8e-10 (1 hits)		2.7e-09 (1 hits)	1.8e-12 (1 hits)				4.4e-11 (1 hits)	1.6e-09 (1 hits)	2.3e-09 (1 hits)		2.8e-19 (1 hits)		6.5e-11 (2 hits)	3.1e-54 (5 hits)								6.7e-15 (2 hits)		6.8e-12 (2 hits)	4.3e-11 (2 hits)	1.8e-14 (2 hits)	4e-13 (3 hits)	2.7e-11 (3 hits)		7.6e-13 (1 hits)	
NCVOG1250																																												5.5e-12 (1 hits)				
NCVOG1255																																												1.1e-13 (2 hits)				
NCVOG1264	5.9e-11 (2 hits)		2.8e-09 (1 hits)	4.4e-25 (4 hits)				6.7e-10 (1 hits)	1e-18 (2 hits)	7.4e-09 (1 hits)	1.6e-11 (1 hits)		7.5e-09 (1 hits)	1.6e-09 (1 hits)		1.5e-09 (2 hits)	4e-21 (2 hits)	9.8e-12 (2 hits)	1.7e-22 (2 hits)			6.7e-09 (2 hits)		1.2e-22 (2 hits)	1.7e-22 (2 hits)	1.3e-22 (3 hits)	4.9e-24 (3 hits)	7.6e-10 (1 hits)	8.7e-19 (1 hits)	2.1e-15 (1 hits)			1.1e-10 (1 hits)	3e-13 (3 hits)	4e-09 (1 hits)	4.6e-12 (2 hits)	2e-42 (2 hits)		2.8e-12 (2 hits)	2.4e-13 (1 hits)	5.6e-12 (1 hits)	1.1e-13 (2 hits)			2.1e-11 (1 hits)	1.8e-09 (1 hits)	3.8e-12 (2 hits)	
NCVOG1269																																		8.2e-09 (2 hits)														
NCVOG1273	4.4e-15 (2 hits)							1.6e-14 (2 hits)			2.6e-15 (1 hits)																								1.1e-09 (1 hits)													
NCVOG1278														3.4e-10 (1 hits)																				1.4e-09 (1 hits)										2.1e-14 (1 hits)				
NCVOG1281				1.3e-24 (7 hits)		4.4e-09 (1 hits)																									2.2e-23 (1 hits)																	
NCVOG1295				4.4e-09 (1 hits)																																												
NCVOG1299	2.1e-37 (9 hits)	7e-37 (2 hits)	6.4e-23 (5 hits)	5.2e-47 (1 hits)	1.8e-47 (1 hits)	1.1e-47 (1 hits)	2.3e-36 (3 hits)	5.3e-22 (13 hits)		1.7e-14 (2 hits)	2.2e-29 (10 hits)		2.7e-19 (4 hits)	6e-35 (8 hits)	1e-11 (2 hits)	1.8e-35 (6 hits)	3.4e-38 (2 hits)	1.5e-26 (4 hits)	2.9e-31 (3 hits)	2.2e-45 (8 hits)	3.3e-12 (1 hits)	2e-23 (6 hits)	7.3e-23 (2 hits)	1.1e-45 (7 hits)	2.3e-31 (3 hits)	1.2e-37 (2 hits)	1.4e-13 (2 hits)	4.5e-37 (8 hits)	1.9e-37 (3 hits)	9.5e-32 (8 hits)	2.1e-24 (4 hits)	2e-26 (6 hits)	7.4e-12 (3 hits)	1.1e-18 (1 hits)	3.8e-22 (8 hits)	6.4e-23 (5 hits)	7.1e-14 (4 hits)		1.6e-33 (6 hits)	1.3e-35 (2 hits)	2.4e-46 (6 hits)	9.2e-47 (6 hits)	1.4e-13 (5 hits)	2.7e-15 (4 hits)	8.1e-23 (8 hits)	7.7e-39 (1 hits)	2.8e-33 (6 hits)	9.4e-23 (7 hits)
NCVOG1303		6.9e-12 (1 hits)					1.2e-10 (2 hits)									2.1e-12 (1 hits)													4.1e-26 (46 hits)				8.9e-09 (4 hits)			2.6e-11 (9 hits)								3.2e-17 (39 hits)				1.6e-13 (15 hits)
NCVOG1317				3e-28 (6 hits)					3.9e-13 (1 hits)											3.6e-14 (1 hits)							6.8e-12 (1 hits)	5.5e-11 (2 hits)			3.8e-33 (4 hits)			8.2e-14 (5 hits)	2e-10 (9 hits)		2.4e-12 (2 hits)		3.7e-15 (2 hits)			8.3e-14 (2 hits)					8.6e-16 (4 hits)	
NCVOG1326	1.4e-20 (6 hits)	3e-43 (1 hits)	4.4e-19 (3 hits)	2.1e-21 (1 hits)	9e-22 (1 hits)		6e-42 (2 hits)	7.9e-22 (8 hits)	1.9e-36 (1 hits)	6.5e-19 (4 hits)	6.2e-24 (6 hits)		6.7e-19 (4 hits)	3.5e-21 (5 hits)		7.1e-21 (7 hits)	5.9e-41 (3 hits)	3.3e-33 (2 hits)	1.2e-24 (2 hits)	2.2e-14 (3 hits)	1e-22 (2 hits)	5.6e-18 (2 hits)	8.4e-23 (2 hits)	3.4e-09 (2 hits)	2.7e-41 (3 hits)	5.4e-24 (2 hits)	2.9e-34 (9 hits)	9.1e-79 (12 hits)	4.3e-19 (2 hits)	3.2e-47 (7 hits)	1.2e-52 (10 hits)	9.8e-105 (6 hits)	1.8e-34 (1 hits)	3.5e-35 (1 hits)	8.4e-16 (1 hits)	3e-41 (6 hits)	1.2e-39 (4 hits)		5.3e-47 (9 hits)		5.7e-47 (4 hits)	5.5e-47 (7 hits)	7.2e-42 (2 hits)	1.1e-38 (9 hits)	5.3e-23 (5 hits)	1.1e-45 (6 hits)	4.8e-47 (6 hits)	6.1e-32 (2 hits)
NCVOG1337	1.1e-28 (3 hits)	8.4e-17 (5 hits)	3.4e-19 (1 hits)		7.7e-11 (1 hits)	4.7e-11 (1 hits)	1.1e-11 (3 hits)		2.5e-17 (4 hits)	7.4e-29 (2 hits)	1.9e-28 (6 hits)		7.7e-29 (3 hits)	4.5e-23 (4 hits)		1.3e-28 (2 hits)	5.9e-12 (1 hits)			5.2e-09 (1 hits)		3.8e-32 (3 hits)		1.1e-24 (2 hits)	2.7e-18 (2 hits)		6.6e-13 (3 hits)	4.9e-22 (3 hits)		6e-37 (2 hits)	7.2e-15 (4 hits)		2.5e-13 (1 hits)			2.4e-11 (2 hits)	3.3e-13 (3 hits)		4e-39 (5 hits)		4.7e-39 (2 hits)	4.5e-39 (2 hits)	1.3e-16 (1 hits)		7.2e-29 (2 hits)		9.5e-27 (6 hits)	
NCVOG1339																				3.3e-14 (1 hits)	9.4e-11 (2 hits)		7.6e-11 (2 hits)					5.1e-36 (14 hits)						2.8e-13 (2 hits)		3.5e-37 (37 hits)								6.2e-33 (13 hits)				
NCVOG1342		6e-12 (1 hits)					1.3e-10 (2 hits)									5.5e-18 (1 hits)	9.1e-17 (1 hits)																1.4e-09 (2 hits)		3.5e-13 (1 hits)									2.1e-16 (2 hits)				
NCVOG1343							8.3e-53 (3 hits)								5e-25 (3 hits)				1.8e-44 (4 hits)						4.1e-46 (4 hits)				4.1e-17 (2 hits)				1.2e-15 (2 hits)															
NCVOG1344		5.6e-12 (4 hits)		5.5e-09 (1 hits)			2.8e-10 (3 hits)							8.7e-09 (1 hits)					3.5e-13 (1 hits)					3.4e-12 (4 hits)	7.1e-13 (1 hits)	6.8e-13 (2 hits)	2.2e-09 (1 hits)	1.4e-09 (1 hits)		2.9e-09 (2 hits)					1.7e-14 (3 hits)	6.7e-10 (2 hits)	3.9e-09 (1 hits)						4.1e-09 (1 hits)					
NCVOG1345																1.2e-13 (6 hits)																																
NCVOG1346		1.3e-70 (1 hits)					1.1e-71 (2 hits)																																									
NCVOG1348							1.7e-19 (2 hits)									5.3e-18 (1 hits)																		6.2e-15 (2 hits)										1.9e-19 (3 hits)				
NCVOG1350				9.7e-16 (2 hits)																								1.1e-09 (1 hits)			5.2e-16 (1 hits)																	3.2e-12 (1 hits)
NCVOG1351	1.8e-19 (4 hits)	1.8e-47 (22 hits)	2.8e-22 (5 hits)	7.6e-57 (28 hits)	2.7e-35 (7 hits)	1.7e-35 (8 hits)	1.1e-45 (19 hits)	3.5e-15 (4 hits)	7.3e-51 (1 hits)	1.9e-16 (2 hits)	1.5e-15 (3 hits)		1.3e-19 (3 hits)	6.5e-17 (2 hits)	8.9e-14 (2 hits)	2.2e-18 (3 hits)	1.2e-49 (4 hits)	4.8e-22 (2 hits)	1.7e-49 (5 hits)	8.6e-15 (5 hits)	3.6e-19 (4 hits)	4.1e-27 (4 hits)	2.9e-19 (4 hits)	2.8e-50 (3 hits)	1.5e-49 (5 hits)	8.2e-54 (5 hits)	8.3e-36 (9 hits)	2.7e-42 (19 hits)	8.8e-51 (13 hits)	3.2e-52 (8 hits)	2e-41 (11 hits)	1.5e-17 (4 hits)	2.7e-17 (3 hits)	1.5e-16 (2 hits)	7.8e-17 (5 hits)	2.4e-24 (7 hits)	5e-36 (7 hits)		3.2e-57 (5 hits)	1.4e-21 (3 hits)	1.6e-53 (7 hits)	3.4e-57 (5 hits)	4.7e-53 (3 hits)	4.6e-10 (1 hits)	1.3e-15 (2 hits)	2.9e-20 (5 hits)	5.8e-49 (8 hits)	
NCVOG1352	1.6e-14 (1 hits)	3.3e-12 (4 hits)	1.7e-13 (1 hits)	9.7e-32 (14 hits)			2.2e-17 (4 hits)	6.4e-20 (2 hits)	1.9e-43 (1 hits)	2.1e-13 (2 hits)	1.6e-18 (4 hits)		2.2e-13 (2 hits)				6.6e-49 (5 hits)	6.1e-13 (2 hits)	2.2e-46 (2 hits)			4.5e-15 (2 hits)		2.1e-48 (3 hits)	2.4e-49 (3 hits)	2.9e-49 (2 hits)	1.6e-12 (1 hits)	3.3e-66 (6 hits)	3.5e-36 (1 hits)	7.7e-73 (4 hits)	2.5e-16 (2 hits)	2.8e-17 (2 hits)	5.7e-16 (2 hits)	5.4e-23 (4 hits)	7.2e-35 (2 hits)	3.7e-24 (5 hits)			1e-76 (2 hits)		3.1e-47 (4 hits)	3e-47 (4 hits)	2.5e-14 (1 hits)	4.9e-12 (2 hits)	5.1e-20 (7 hits)	5.9e-14 (1 hits)	3.4e-65 (3 hits)	3.1e-35 (6 hits)
